Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
2	15.	5.	5.	1.0145
4	15.	10.	5.	1.0012
6	10.	5.	0.	1.0012
7	10.	10.	0.	1.0778
13	10.	0.	0.	1.0778
14	15.	0.	5.	1.0012
15	20.	0.	5.	1.0012
16	20.	0.	10.	0.89645
17	15.	0.	10.	0.9831
18	15.	0.	0.	0.9831
19	20.	0.	0.	0.89645
20	10.	0.	10.	1.0778
21	10.	0.	5.	1.0012
32	10.	10.	5.	1.0012
33	10.	10.	10.	1.0778
34	10.	5.	5.	0.91991
35	10.	5.	10.	1.0012
36	15.	5.	0.	1.0012
37	15.	10.	0.	0.9831
38	20.	10.	0.	0.89645
39	20.	5.	0.	1.0012
40	15.	5.	10.	1.0012
41	15.	10.	10.	0.9831
42	20.	10.	10.	0.89645
43	20.	5.	10.	1.0012
44	20.	5.	5.	1.1011
45	20.	10.	5.	1.0012
